wkt_geom	osm_id	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel	path
LineString (113.94243710000000647 22.50661840000000069, 113.94243910000000142 22.50640040000000042, 113.94243749999999693 22.50630590000000097, 113.94243590000000665 22.50619319999999846, 113.94244569999999328 22.50609929999999892, 113.94246440000000575 22.50600250000000102, 113.9425073000000026 22.50589790000000079, 113.94258139999999457 22.50580130000000167, 113.94266960000000211 22.50571220000000139, 113.94279040000000691 22.5056402999999996, 113.94290139999999667 22.5055897999999992, 113.94302270000000021 22.50555329999999898, 113.94314740000000086 22.50554010000000105, 113.94344379999999717 22.50553580000000053, 113.94352709999999718 22.50552640000000082, 113.94358789999999715 22.50550139999999999, 113.94362730000000283 22.50545119999999955, 113.94364129999999591 22.50539159999999939, 113.94364380000000381 22.50525830000000127, 113.94365009999999927 22.50491829999999993)	101316563	5113	primary			F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.88456539999999961 22.50003579999999914, 113.88494269999999631 22.50017820000000057, 113.88513129999999762 22.50026629999999983, 113.88527179999999817 22.50033039999999929, 113.88547560000000658 22.50044719999999998, 113.88572379999999384 22.50059849999999884, 113.88600340000000699 22.50078720000000132, 113.88632230000000334 22.50104040000000083, 113.88660219999999867 22.50128420000000062, 113.88683159999999361 22.50151939999999939, 113.88703739999999698 22.5017421000000013, 113.88725469999999973 22.50199380000000104, 113.88737740000000542 22.50214319999999901, 113.88746030000000076 22.50225100000000111, 113.88756549999999379 22.50240289999999987, 113.88930650000000355 22.50507809999999864, 113.88934270000000026 22.50513589999999908, 113.88947659999999473 22.50535010000000113, 113.88955169999999839 22.5054704000000001, 113.88959680000000674 22.50554250000000067, 113.88986210000000199 22.5059527000000017, 113.891050000000007 22.50778959999999884, 113.89138629999999353 22.5083120000000001, 113.89165239999999812 22.50872359999999972, 113.89197799999999461 22.50922720000000155, 113.89236250000000439 22.50981660000000062, 113.8927508999999958 22.51037669999999835, 113.89307279999999878 22.51079569999999919, 113.89344610000000557 22.51121970000000161, 113.89367900000000589 22.51146809999999832, 113.89409279999999569 22.51188300000000098, 113.89461850000000709 22.51238719999999915, 113.89498840000000257 22.51275400000000104, 113.89701220000000603 22.51475160000000031, 113.89733830000000125 22.51507030000000142, 113.89778490000000488 22.51550209999999907, 113.90082320000000493 22.51851010000000031, 113.90101389999999526 22.5187027999999998, 113.90109820000000695 22.51878370000000018, 113.90118590000000154 22.51886890000000108, 113.90150479999999789 22.51917819999999892, 113.90252870000000485 22.52020059999999901, 113.90327399999999614 22.52097849999999823, 113.90352520000000425 22.52127919999999861, 113.90374260000000106 22.5215463999999983, 113.90395970000000148 22.52187359999999927, 113.90424079999999663 22.52236010000000022, 113.90445239999999671 22.52281959999999827, 113.90464590000000555 22.52331709999999987, 113.90477599999999825 22.52371300000000076, 113.90484999999999616 22.52400229999999937, 113.90491679999999519 22.52430939999999993, 113.90496729999999559 22.52458850000000012, 113.90499909999999772 22.52486229999999878, 113.90503630000000612 22.52547059999999846, 113.90504570000000228 22.52565680000000015, 113.90504540000000588 22.52592299999999881, 113.90504500000000121 22.52634259999999955, 113.90496699999999919 22.52938179999999946, 113.90493859999999415 22.53080230000000128, 113.9049461999999977 22.53151220000000166, 113.90494139999999845 22.53217349999999897, 113.90490029999999422 22.53389999999999915, 113.90488940000000184 22.53456059999999894, 113.90487609999999563 22.53510160000000084, 113.90487349999999367 22.53520939999999939, 113.90486040000000401 22.53574389999999994, 113.90481590000000267 22.53757149999999854, 113.90480540000000076 22.53875969999999995, 113.90476870000000531 22.53996090000000052, 113.9047525999999948 22.54119740000000149)	101316762	5113	primary	月亮湾大道		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92954860000000394 22.52622410000000031, 113.92990919999999733 22.52698720000000066, 113.93042810000000031 22.52810290000000037)	96326140	5113	primary	后海大道		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92945539999999482 22.52626929999999916, 113.92867730000000392 22.52447190000000177, 113.92862730000000226 22.52434669999999883, 113.92857130000000154 22.52419629999999984, 113.92852070000000708 22.52404969999999906, 113.92846509999999682 22.52387279999999947, 113.92837059999999383 22.52355569999999929, 113.92830560000000162 22.52331540000000132)	96326147	5113	primary	后海大道		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.99124980000000562 22.5437176000000008, 113.99123980000000245 22.54363019999999906, 113.99124319999999955 22.54354229999999859, 113.99125519999999767 22.54346689999999853, 113.99137009999999748 22.54280490000000015, 113.99143759999999759 22.542481200000001, 113.99152680000000259 22.54211159999999836, 113.99156539999999893 22.54192520000000144, 113.99159819999999854 22.54171769999999952, 113.99163599999999974 22.54148590000000141, 113.99196120000000576 22.53958280000000158, 113.99212520000000382 22.53846929999999915, 113.99223410000000456 22.53772999999999982, 113.99230849999999293 22.53721469999999982, 113.99252620000000036 22.53570750000000089, 113.99272100000000307 22.53455710000000067, 113.99276550000000441 22.53429750000000098, 113.99280539999999462 22.53402769999999933)	96326115	5113	primary	侨城东路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.9284028999999947 22.52330089999999885, 113.92846160000000566 22.52352060000000122, 113.92851779999999451 22.52370609999999829, 113.92855860000000234 22.52385029999999944, 113.92861960000000465 22.52403959999999827, 113.92865740000000585 22.52415129999999976, 113.92870449999999494 22.52427840000000003, 113.92875720000000683 22.52441230000000161, 113.92954860000000394 22.52622410000000031)	96326129	5113	primary	后海大道		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.07108809999999721 22.52581640000000007, 114.07135750000000485 22.52573040000000049, 114.07156630000000064 22.5256653, 114.07180099999999356 22.5255921999999984, 114.07196729999999718 22.52554029999999941, 114.07224379999999542 22.52545419999999865, 114.07229920000000334 22.52543689999999899, 114.07235149999999635 22.52542060000000035, 114.07240290000000016 22.52540460000000166, 114.07245360000000289 22.52538880000000177, 114.07250019999999324 22.52537420000000168, 114.07255080000000191 22.52535930000000164, 114.07259480000000451 22.52533049999999903, 114.07261660000000347 22.52527939999999873, 114.07260990000000334 22.52522709999999861, 114.0724287999999973 22.52474139999999991, 114.07190909999999917 22.52334129999999845)	74017041	5113	primary			F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.05848679999999717 22.58061560000000156, 114.05966619999999523 22.57862739999999846, 114.0599016999999975 22.5782297000000014, 114.06003230000000315 22.5779627000000005, 114.06014439999999865 22.5777031000000008, 114.06021130000000596 22.5775225000000006, 114.060291399999997 22.57725710000000063, 114.06035079999999482 22.57701829999999887, 114.06046659999999804 22.57644790000000157, 114.06082379999999432 22.57483249999999941)	74033703	5113	primary	彩田路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92444089999999335 22.52772489999999905, 113.92443810000000326 22.5279309000000012, 113.9244484999999969 22.52852959999999882, 113.92444209999999316 22.52901389999999893, 113.92444179999999676 22.52933919999999901, 113.92444890000000157 22.52960759999999851, 113.92445829999999773 22.5298462999999991, 113.92447289999999782 22.52999720000000039, 113.92450110000000052 22.5301632000000005, 113.92452710000000593 22.53027060000000148, 113.9245667999999938 22.53043070000000014, 113.92462580000000116 22.53060789999999969, 113.92468089999999847 22.53075899999999976, 113.92475459999999998 22.53093240000000108, 113.9248170999999985 22.53105169999999902, 113.92578360000000259 22.5328489999999988)	69570022	5113	primary	南海大道	X256	F	50	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.07070521372436644 22.5183229971957708, 114.07050700000000631 22.51917770000000019)	74017034	5113	primary	落馬洲橋 Lok Ma Chau Birdge		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98341089999999554 22.56118120000000005, 113.983390600000007 22.56086720000000057, 113.98332390000000203 22.56001819999999825, 113.98324879999999837 22.55899619999999928, 113.98320809999999881 22.55838579999999993, 113.98317409999999938 22.55787589999999909)	96327310	5113	primary	南坪快速路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98723710000000153 22.56908370000000019, 113.98747470000000703 22.56826829999999973, 113.98750889999999458 22.56815100000000029, 113.9875645999999989 22.56777830000000051, 113.98756539999999404 22.56741129999999984, 113.98752170000000206 22.56708150000000046, 113.98744530000000452 22.56677189999999911, 113.98738910000000146 22.56664410000000132, 113.98730179999999734 22.56644539999999921, 113.98708870000000104 22.56609630000000166, 113.98691519999999855 22.56587280000000106, 113.98665350000000274 22.56561269999999908, 113.98614639999999554 22.56524590000000074, 113.98577240000000188 22.5649924999999989, 113.98499830000000088 22.56443660000000051, 113.98466910000000496 22.56419199999999847, 113.98443690000000572 22.56401849999999953)	96327311	5113	primary	南坪快速路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98759450000000015 22.56919230000000098, 113.9838740999999942 22.58361019999999897, 113.98382089999999778 22.58389120000000005, 113.98379429999999957 22.58417529999999829)	96327299	5113	primary	塘朗山隧道		F	0	-1	F	T	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98379429999999957 22.58417529999999829, 113.98376330000000678 22.58446710000000124)	96327303	5113	primary	南坪快速路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98352169999999717 22.56114880000000156, 113.98358020000000579 22.56216590000000011, 113.98361219999999605 22.5624918000000001, 113.98366860000000145 22.56273029999999835, 113.98378339999999298 22.56305419999999984, 113.98387150000000645 22.56323670000000092, 113.98397249999999303 22.56340360000000089)	96327292	5113	primary	南坪快速路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98341240000000596 22.58415139999999965, 113.98344190000000253 22.58385510000000096, 113.98349360000000274 22.58356500000000011, 113.98723710000000153 22.56908370000000019)	96327293	5113	primary	塘朗山隧道		F	0	-1	F	T	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92910039999999583 22.55863629999999986, 113.92920279999999877 22.55980479999999844, 113.92922269999999685 22.56075320000000062, 113.92920850000000144 22.56150009999999995, 113.92919519999999522 22.56219510000000028, 113.92917959999999766 22.56301500000000004, 113.92916610000000333 22.5638393999999991, 113.92913710000000549 22.56481090000000123)	96326547	5113	primary	南海大道	X256	F	0	1	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92854180000000497 22.55469980000000163, 113.92854069999999922 22.55450649999999868, 113.92857600000000673 22.55368969999999962, 113.9286345999999952 22.5523422999999994, 113.92865740000000585 22.55175230000000042, 113.92869149999999934 22.55085010000000167, 113.92871220000000676 22.55034050000000079, 113.9286915999999934 22.54984260000000162, 113.92862890000000675 22.5493881000000016, 113.9284849999999949 22.548853900000001, 113.92834940000000188 22.54849270000000061, 113.92736739999999429 22.54641619999999946, 113.92723039999999912 22.54612660000000091, 113.92713480000000459 22.54589440000000167, 113.92698479999999961 22.54518369999999905, 113.92694140000000402 22.5448978000000011, 113.92692420000000197 22.54461879999999852)	96326549	5113	primary	南海大道	X256	F	0	1	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.15893490000000554 22.6099825999999986, 114.15884909999999763 22.60944770000000048)	51191864	5113	primary	丹沙路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.1590422000000018 22.60996280000000169, 114.15908509999999865 22.61029949999999999, 114.1590422000000018 22.61055700000000002, 114.15894559999999558 22.61079469999999958, 114.15825900000000104 22.61198320000000095, 114.15803370000000427 22.61253779999999836, 114.15749719999999456 22.61434039999999968, 114.1574686000000014 22.61441209999999913, 114.15734700000000146 22.61471669999999889, 114.15717539999999985 22.61506340000000037, 114.15677130000000261 22.61575059999999837, 114.15644500000000505 22.61630320000000083, 114.15607289999999807 22.61694659999999857, 114.15593350000000328 22.61724369999999951, 114.15582620000000702 22.61752099999999999, 114.15575110000000336 22.61780830000000009, 114.15570820000000651 22.61810540000000103, 114.15568670000000395 22.61842229999999887, 114.15570820000000651 22.61871939999999981, 114.15574030000000505 22.61897689999999983, 114.15580470000000446 22.6192442999999983, 114.15591200000000072 22.61955130000000125, 114.15597640000000013 22.61983850000000018, 114.15601929999999697 22.62010589999999866, 114.15603000000000122 22.62037330000000068, 114.15600860000000694 22.6206308000000007, 114.15596560000000181 22.62082880000000173, 114.15591200000000072 22.62101699999999838, 114.15582620000000702 22.62122499999999903, 114.1557296000000008 22.62143299999999968, 114.15562230000000454 22.62163100000000071, 114.15549359999999979 22.62179940000000045, 114.15534340000000668 22.62197760000000102, 114.15491219999999828 22.62250840000000096, 114.15457019999999488 22.62276639999999972)	51191874	5113	primary	丹沙路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.05057589999999834 22.5154904000000009, 114.05129750000000399 22.51223720000000128)	46898414	5113	primary	益田路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94476869999999735 22.50137600000000049, 113.94510459999999341 22.5011170000000007, 113.94535630000000026 22.50094430000000045, 113.94542359999999803 22.50089609999999851, 113.9454970999999972 22.50084169999999872, 113.94556889999999783 22.50077789999999922, 113.94562840000000392 22.50071600000000061, 113.94569079999999417 22.50064079999999933, 113.94574629999999615 22.5005613000000011, 113.94580360000000496 22.50046869999999899)	49709020	5113	primary			F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.0704352791481142 22.51829418880982914, 114.07008249999999805 22.51982509999999849)	46875338	5113	primary	落馬洲橋 Lok Ma Chau Birdge		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.05129750000000399 22.51223720000000128, 114.05153959999999813 22.51114019999999982, 114.05160270000000367 22.51086270000000056)	46898413	5113	primary	红棉道		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.0680562000000009 22.52910550000000001, 114.06789670000000569 22.52871120000000005, 114.06771349999999643 22.52830720000000042, 114.06747740000000135 22.52782159999999934, 114.06727359999999294 22.52743510000000171, 114.06701610000000358 22.52697919999999954, 114.06666199999999378 22.52627560000000173, 114.06630800000000647 22.52560169999999928, 114.06588960000000554 22.52478509999999901, 114.06575200000000336 22.5245400999999994, 114.06567110000000298 22.52440430000000049, 114.06512240000000702 22.52355950000000107, 114.06455939999999316 22.52273050000000154, 114.0644639000000069 22.52260490000000104, 114.06428160000000105 22.52237119999999848, 114.0634998999999965 22.52144459999999881, 114.06330869999999322 22.52121500000000154, 114.06316990000000544 22.52105029999999886, 114.06311320000000364 22.52097390000000132, 114.0629193999999984 22.52070189999999883, 114.06287989999999866 22.52062499999999901, 114.06285819999999376 22.52052989999999966, 114.06285950000000184 22.52045349999999857, 114.06287539999999581 22.5203831000000001, 114.0629227999999955 22.52028839999999832, 114.06297700000000361 22.52022529999999989, 114.06305209999999306 22.52016899999999922, 114.06314629999999966 22.52012780000000092, 114.06324850000000026 22.52010920000000027, 114.06333650000000546 22.52011189999999985, 114.06341079999999977 22.52012789999999853, 114.06348269999999445 22.52015689999999992, 114.06354749999999854 22.52019779999999827, 114.06359360000000436 22.52023780000000031, 114.06363349999999457 22.52029770000000042, 114.06368260000000703 22.52038659999999837)	46875310	5113	primary			F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.07114210000000298 22.52596649999999912, 114.07106579999999951 22.52599090000000004)	46875336	5113	primary	百合路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94079600000000596 22.53254799999999847, 113.94083969999999795 22.5300255000000007, 113.94085839999999621 22.52904429999999891, 113.94087980000000471 22.5281564000000003, 113.94088109999999858 22.52810440000000014, 113.94088689999999531 22.5277940000000001, 113.94089459999999292 22.52737829999999875, 113.94090180000000601 22.5270633999999994, 113.94091969999999492 22.52684400000000053, 113.94093270000000473 22.52611999999999881)	69347634	5113	primary	科苑南路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.92433529999999564 22.52772489999999905, 113.92434559999999522 22.52745039999999932, 113.92437769999999375 22.52715800000000002, 113.92445979999999395 22.52670510000000093, 113.92449700000000234 22.52647819999999967, 113.92452729999999406 22.52619710000000097, 113.92453940000000046 22.52570010000000167, 113.92454200000000242 22.52560210000000041, 113.92454250000000116 22.52532280000000142, 113.92453310000000499 22.52515179999999972, 113.92450159999999926 22.52488070000000064, 113.92446870000000558 22.52468239999999966, 113.92442599999999686 22.52446480000000051, 113.92436499999999455 22.52421440000000175, 113.92430799999999635 22.52402749999999898, 113.92425570000000334 22.52386399999999966, 113.92415370000000507 22.52358399999999961, 113.92395249999999862 22.5230536999999984)	69570016	5113	primary	南海大道	X256	F	0	2	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.10190470000000573 22.62670909999999935, 114.10142009999999857 22.62709130000000002)	51795034	5113	primary		S360	F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
